date_work,dot,port,port1,ip,ip1,domain_count,urls_count,click,here,link,suspension,dear,verifyyouraccount,html,w_count,str_count,body_richness,account_count,suspended_count,word_count,@,!,#,%,&,+,-,_,$,*,/,\,contain_account,contain_password,contain_verify,contain_reward,contain_confidentiality,contain_cancel,bank,fw,re,verify,subject_word_count,subject_str_count,subject_richness,upper
0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,80,676,0.12,0,0,72,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,20,0.15,1
0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,3,81,0.04,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,0.14,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,91,1204,0.08,0,0,74,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,31,0.19,0
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,195,181383,0,0,0,140,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,20,0.15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,2018,0.16,0,0,213,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,0.15,1
0,12,0,0,0,0,4,6,0,0,0,0,0,0,1,743,8758,0.08,0,0,313,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,41,0.22,1
0,4,0,0,0,0,1,1,0,0,0,0,0,0,1,116,920,0.13,0,0,94,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,53,0.17,1
0,18,0,0,0,0,1,6,0,0,0,0,0,0,1,644,4070,0.16,0,0,312,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,38,0.16,1
0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,828,6688,0.12,0,0,245,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,40,0.12,1
0,2,0,0,0,0,2,2,0,0,0,0,1,0,1,843,10544,0.08,0,0,400,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,40,0.15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,289,1051,0.27,0,0,123,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,24,0.17,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,1764,0.19,0,0,167,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,48,0.21,0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,97,0.01,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,50,0.02,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,297,3122,0.1,0,0,131,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16,0.19,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,53,1018,0.05,0,0,49,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,19,0.16,0
0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,383,1769,0.22,0,0,164,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,32,0.16,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,251,832,0.3,0,0,99,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,48,0.19,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,917,0.16,1,0,108,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,19,0.11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,411,2969,0.14,0,0,107,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,53,0.17,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,1307,0.14,0,0,136,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,26,0.15,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,147,0.01,0,0,2,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,58,0.02,1
1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,26,3099,0.01,0,0,9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,50,0.02,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,308,0.14,0,0,41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0.24,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,756,7603,0.1,0,0,343,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,30,0.17,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1053,7497,0.14,0,0,250,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,31,0.23,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,207,554,0.37,0,0,70,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,48,0.15,1
1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,6,153,0.04,0,0,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,38,0.16,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,388,1623,0.24,0,0,176,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,48,0.19,1
